# TIPE filtrage enceinte -- mesure d impedance
# DONNEES SYNTHETIQUES -- aucune mesure de l enceinte du projet.
# Engendrees par un modele BASS-REFLEX a 8 parametres (2 events) pour eprouver
# la chaine d analyse avant la premiere seance de banc. Ne jamais citer
# un chiffre issu de ce fichier comme un resultat de mesure.
# Le TYPE de caisse est un fait (constat de l etudiant du 2026-09-16) ;
# alpha, f_b et Q_l restent des ordres de grandeur [[a mesurer]].
# version_format: 1
# date: 2026-09-13T00:00
# dipole: SYNTHETIQUE -- 18 pouces 8 ohm en caisse BASS-REFLEX a 2 events, parametres TYPIQUES de datasheet (§ 01.13), PAS le HP du projet
# montage: C (GBF flottant, noeud milieu a la masse) -- simule
# R_ref_nominale_ohm: 100
# R_ref_mesuree_ohm: 100
# u_R_ref_relative_pct: 1.0
# u_systematique_relative_pct: 1.2
# niveau_Vd_RMS_V: 0.15
# temperature_C: 20
# operateur: genere par io_mesures.generer_exemple_synthetique
# appareil: AUCUN -- simulation numerique (modele_hp.Z_bassreflex8)
# Re_DC_avant_ohm: 5.4
# Re_DC_apres_ohm: 5.4
# bruit_simule: gaussien 1.4 % par voie sur les tensions, 1.5 deg (absolus) sur la phase
# fb_predit_Helmholtz_Hz: 35.0122
# geometrie_caisse: ILLUSTRATIVE [[a mesurer]] : V = 110 L, 2 events de 100 mm de diametre et 274 mm de long
# graine: 20260913
# parametres_du_modele: Re=5.4 ohm, Le=0.0019 H, Res=100 ohm, fs=40 Hz, Qms=6.1, alpha=3, fb=35 Hz, Ql=7
# statut_donnees: SYNTHETIQUES -- aucune mesure de l enceinte du projet
# type_caisse: bass-reflex, 2 events (constat de l etudiant, 2026-09-16)
f_Hz,V_dipole_V,V_Rref_V,dt_s,module_Z_ohm,phase_deg,u_module_alea_ohm,u_phase_deg
10,0.145651214,1.76728436,0.0134925141,8.24152679,48.5730508,0.163173906,1.5
10.5925373,0.148231173,1.62194678,0.0127310808,9.13908981,48.547601,0.180944747,1.5
11.2201845,0.148783742,1.43101359,0.0131797259,10.397088,53.2364243,0.20585184,1.5
11.6666667,0.152079351,1.35825391,0.0129238379,11.1966804,54.2801191,0.221682963,1.5
11.8850223,0.148174139,1.32561183,0.0128834779,11.1777924,55.1233517,0.221308999,1.5
12.008883,0.148092765,1.28686616,0.0130977118,11.5080161,56.6239998,0.227847094,1.5
12.3611374,0.149137829,1.16781195,0.0123225906,12.7707059,54.8356451,0.252847077,1.5
12.5892541,0.150791584,1.14200759,0.0126338666,13.2040789,57.2583443,0.261427425,1.5
12.7237245,0.14830726,1.08762181,0.0123683981,13.6359219,56.6539522,0.26997748,1.5
13.0969473,0.14937586,0.987529507,0.0121359281,15.1262174,57.2197,0.299483825,1.5
13.3352143,0.148054058,0.918014396,0.0122312273,16.1276401,58.7181737,0.319310984,1.5
13.4811178,0.150475607,0.87380665,0.0120608781,17.2206983,58.5338824,0.340952432,1.5
13.876557,0.14921187,0.764780731,0.011345302,19.5104118,56.6761428,0.386286445,1.5
14.1253754,0.148139973,0.71113296,0.0115428448,20.8315436,58.696926,0.412443521,1.5
14.2835956,0.151297847,0.660055145,0.0111835424,22.922001,57.506831,0.453832466,1.5
14.7025739,0.149399265,0.567829497,0.0104950672,26.3105854,55.5496202,0.520923014,1.5
14.9623566,0.148779592,0.483647349,0.00908807497,30.7619988,48.9524465,0.609056503,1.5
15.1338419,0.149064279,0.441776314,0.00882787145,33.742026,48.0958598,0.668058032,1.5
15.5777602,0.149521111,0.352227403,0.00705952506,42.4501642,39.5897719,0.840470372,1.5
15.8489319,0.152524591,0.297224052,0.00465207356,51.3163687,26.542943,1.01601226,1.5
16.0346999,0.148619293,0.285365391,0.00342808562,52.0803493,19.7885967,1.03113831,1.5
16.505043,0.15142419,0.285747704,-0.0019160767,52.9922686,-11.3849742,1.04919339,1.5
16.7880402,0.150283927,0.312963861,-0.00379971242,48.0195784,-22.9643009,0.950739147,1.5
16.9891825,0.152250833,0.351459699,-0.00467963021,43.3195707,-28.621113,0.857683742,1.5
17.4875232,0.150581757,0.451266935,-0.00653834145,33.3686662,-41.1621833,0.660665884,1.5
17.7827941,0.150802615,0.527691357,-0.00714343794,28.5778065,-45.730903,0.565811702,1.5
18.0004817,0.150083869,0.591176585,-0.00737755994,25.3873163,-47.8078678,0.502643217,1.5
18.5284867,0.150739279,0.727106651,-0.00731276302,20.7313849,-48.7779956,0.41046048,1.5
18.8364909,0.151490432,0.804682165,-0.00754640038,18.8261202,-51.1731727,0.372738163,1.5
19.0719795,0.150691902,0.852728482,-0.00723677182,17.6717332,-49.687043,0.349882467,1.5
19.6314146,0.151770442,1.00245188,-0.00659713781,15.1399229,-46.6240131,0.29975518,1.5
19.9526231,0.147871767,1.07364027,-0.00675164761,13.7729341,-48.496709,0.272690182,1.5
20.2072594,0.150595738,1.136069,-0.00637091077,13.2558619,-46.3459128,0.262452675,1.5
20.7999954,0.152111373,1.24033125,-0.00612153766,12.2637701,-45.8380639,0.24281026,1.5
21.1348904,0.149539113,1.37262832,-0.00579085137,10.8943631,-44.0600433,0.215697385,1.5
21.4101181,0.15097084,1.39919788,-0.00595357912,10.7898134,-45.8880595,0.213627406,1.5
22.0381373,0.148220197,1.53180408,-0.00533551996,9.676185,-42.3305717,0.191578689,1.5
22.3872114,0.15081799,1.57202205,-0.00490446297,9.59388515,-39.5270097,0.189949235,1.5
22.6845781,0.150715647,1.64699715,-0.00465925183,9.15093554,-38.0495384,0.18117928,1.5
23.3499809,0.1529357,1.77754521,-0.00415740412,8.60375864,-34.9471105,0.17034573,1.5
